Protein,True_Label,Predicted_Label,Confidence,Index,is_negative_control
AXH81214,1.A.102,1.A.102,0.99999595,1,False
NCD33588,1.A.104,1.A.104,0.9999925,5,False
XP_022087427,1.A.105,1.A.105,0.9998951,10,True
Q9UM00,1.A.106,1.A.106,0.99996877,11,False
U6KQS3,1.A.106,1.A.106,0.99997485,17,False
Q54TU8,1.A.106,1.A.106,0.99996483,20,False
Q8ID84,1.A.106,1.A.106,0.99997425,21,False
P02144,1.A.107,1.A.107,0.9999478,29,False
Q92915,1.A.108,1.A.108,0.99998105,34,False
P01584,1.A.109,1.A.109,0.9999926,36,False
Q7RTS5,1.A.110,1.A.110,0.999997,40,False
R4GK65,1.A.110,1.A.110,0.9999951,46,False
M2XT73,1.A.111,1.A.111,0.9996455,52,False
I7MFJ4,1.A.111,1.A.111,0.99999356,53,False
Q9H813,1.A.114,1.A.114,0.9999974,56,False
Q7SY31,1.A.114,1.A.114,0.9999366,57,False
P40471,1.A.115,1.A.115,0.99996746,62,False
AIP91276,1.A.116,1.A.116,0.9999974,71,True
AGA19094,1.A.116,1.A.116,0.99999726,73,True
AVM87576,1.A.117,1.A.117,0.99998,74,True
QII89021,1.A.117,1.A.117,0.9999447,79,True
VDO82503,1.A.119,1.A.119,0.9999883,84,False
VDN13025,1.A.119,1.A.119,0.99998915,85,False
KAF5842206,1.A.119,1.A.119,0.9999912,88,False
P35526,1.A.12,1.A.12,0.99999666,92,False
P0ACA3,1.A.12,1.A.12,0.9999958,101,False
B7LBF5,1.A.12,1.A.12,0.9912907,102,False
KXZ49351,1.A.121,1.A.121,0.99943775,107,False
KAF2073363,1.A.121,1.A.121,0.99998,111,False
P19258,1.A.126,1.A.126,0.9999981,117,False
XP_002288780,1.A.126,1.A.126,0.9999932,120,False
CAD7625038,1.A.126,1.A.126,0.99999905,123,False
AAT52337,1.A.127,1.A.127,0.9999951,125,False
YP_009725255,1.A.128,1.A.128,1.0,127,False
P30405,1.A.129,1.A.129,0.999985,128,False
A8K7I4,1.A.13,1.A.13,0.9999932,134,False
XP_040533254,1.A.13,1.A.13,0.9999976,137,False
A9WIT9,1.A.13,8.B.28,0.110385075,143,False
E7RS17,1.A.13,1.A.13,0.99999547,145,False
P39719,1.A.131,1.A.131,0.99999547,149,False
EGY18472,1.A.131,1.A.131,0.9999838,153,False
P99999,1.A.132,1.A.132,0.9998312,156,True
P07868,1.A.134,1.A.134,0.9999963,159,False
Q03105,1.A.137,1.A.137,0.9999951,165,False
Q4CP61,1.A.138,1.A.138,0.99999714,166,True
KAJ9456123,1.A.138,1.A.138,0.99999976,167,True
XP_035278978,1.A.139,1.A.139,0.9999944,175,False
CAC5415462,1.A.140,1.A.140,0.9999807,181,False
KNC21563,1.A.140,1.A.140,0.9999945,182,False
MBN1876475,1.A.141,1.A.141,0.9999995,190,False
QCR16160,1.A.141,1.A.141,0.9920928,194,False
AXG08322,1.A.141,1.A.141,0.99999917,195,False
WBK62635,1.A.143,1.A.143,0.99999297,197,False
YP_009268764,1.A.144,1.A.144,0.99977845,201,False
ARE67728,1.A.145,1.A.145,0.999997,205,False
WP_296922191,1.A.147,1.A.147,0.9999974,212,False
MEC4585074,1.A.147,1.A.147,0.9999976,214,False
BBF24341,1.A.149,1.A.149,0.99984765,218,False
A0C0A9,1.A.15,1.A.15,0.9999572,220,False
A5K427,1.A.15,1.A.15,0.9999491,221,False
M1V6H9,1.A.18,1.A.18,0.99998474,226,False
I6NMH1,1.A.19,1.A.19,0.99996674,229,True
Q12983,1.A.20,1.A.20,0.99995804,232,False
Q16611,1.A.21,1.A.21,0.9999918,239,True
Q92843,1.A.21,1.A.21,0.99997365,241,True
XP_028455685,1.A.21,1.A.21,0.9999943,247,True
XP_020790974,1.A.21,1.A.21,0.9999982,251,True
P0A5K8,1.A.22,1.A.22,0.9999925,256,False
P68805,1.A.22,1.A.22,0.9996786,259,False
AUF82136,1.A.22,1.A.22,0.99997914,267,False
Q5SMG8,1.A.26,1.A.26,0.99998367,270,False
A2C579,1.A.26,1.A.26,0.9999881,274,False
Q96GZ6,1.A.26,1.A.26,0.99998736,278,False
Q53185,1.A.29,1.A.29,0.9999887,282,False
Q814I5,1.A.29,1.A.29,0.9999908,286,False
D8VNQ4,1.A.32,1.A.32,0.99999976,288,False
P08107,1.A.33,1.A.33,0.9999968,292,False
P11021,1.A.33,1.A.33,0.9999999,294,False
Q96S66,1.A.36,1.A.36,0.9999913,299,True
Q8I132,1.A.36,1.A.36,0.9999926,304,True
XP_031566461,1.A.37,1.A.37,0.9996877,313,False
Q3YBM2,1.A.37,1.A.37,0.9999989,317,False
C3ZEE2,1.A.37,1.A.37,0.9999937,320,False
E9AL43,1.A.38,1.A.38,0.99999845,324,False
Q67392,1.A.39,1.A.39,0.9999939,326,False
P05919,1.A.40,1.A.40,0.99999547,329,False
B9V2W6,1.A.40,1.A.40,0.99998486,331,False
Q992I4,1.A.41,1.A.41,0.9999944,335,False
PHT57019,1.A.41,1.A.41,0.9999925,339,False
AJA39856,1.A.42,1.A.42,0.999992,348,False
Q7Y5E2,1.A.44,1.A.44,0.99999845,350,False
Q8NFU0,1.A.46,1.A.46,0.9999938,357,False
Q8N1M1,1.A.46,1.A.46,0.99998343,358,False
Q9M2D2,1.A.46,1.A.46,0.9999976,365,False
D8UGV3,1.A.46,1.A.46,0.999998,369,False
P54105,1.A.47,1.A.47,0.9999732,371,False
Q9H313,1.A.48,1.A.48,0.9999949,376,False
KRX54150,1.A.48,1.A.48,0.9999939,380,False
YP_009113027,1.A.49,1.A.49,0.9999933,385,False
Q9UGQ2,1.A.55,1.A.55,0.99999285,386,False
Q5DFV8,1.A.55,1.A.55,0.9999473,391,False
D8LWX8,1.A.55,1.A.55,0.99999356,394,False
F1BYM0,1.A.57,1.A.57,0.99987805,399,True
ARD25213,1.A.58,1.A.58,0.9999951,405,True
P61825,1.A.59,1.A.59,0.99997437,407,False
P12870,1.A.61,1.A.61,0.99997485,411,False
P0C2R0,1.A.65,1.A.65,0.99998677,412,True
H9AA36,1.A.65,1.A.65,0.9999943,420,True
P81861,1.A.66,1.A.66,0.9999975,421,False
Q8R3L0,1.A.67,1.A.67,0.9999957,423,False
S7UHS8,1.A.67,1.A.67,0.9999958,429,False
G4TKM5,1.A.67,1.A.67,0.9999974,430,False
S9VKR5,1.A.67,1.A.67,0.999998,434,False
P04852,1.A.68,1.A.68,0.9999889,438,False
P17677,1.A.71,1.A.71,0.99994826,442,False
Q03709,1.A.73,1.A.73,0.99999523,445,False
H3D9P2,1.A.74,1.A.74,0.99999833,450,False
I3VPY1,1.A.81,1.A.81,0.9999969,453,True
Q8BGA2,1.A.82,1.A.82,0.9999963,457,True
E9FU04,1.A.82,1.A.82,0.99999964,459,True
P03107,1.A.86,1.A.86,0.9999838,464,False
P47114,1.A.88,1.A.88,0.9999896,468,False
M3IMT4,1.A.88,1.A.88,0.9999862,470,False
H9EJA1,1.A.89,1.A.89,0.9999821,478,False
C6GHA9,1.A.89,1.A.89,0.9999738,479,False
G8DP11,1.A.93,1.A.93,0.99999547,485,True
F1JZT9,1.A.94,1.A.94,0.9999981,490,True
E3PQI8,1.A.96,1.A.96,0.99998534,493,False
Q89894,1.A.99,1.A.99,0.99995255,495,True
B7V282,1.B.10,1.B.10,0.9999889,500,True
B7V2E7,1.B.10,1.B.10,0.9999875,501,True
H5WQY7,1.B.13,1.B.13,0.99998796,509,True
A6Q1E2,1.B.13,1.B.13,0.999995,511,True
Q0VSL2,1.B.13,1.B.13,0.99997795,513,True
P77076,1.B.15,1.B.15,0.99999833,521,True
Q748R2,1.B.16,1.B.5,0.5223431,527,True
Q1DEU2,1.B.16,1.B.16,0.52743185,528,True
F8C5L7,1.B.16,1.B.5,0.51058096,531,True
B0S9R9,1.B.16,1.B.16,0.53345287,538,True
PXW68332,1.B.162,1.B.162,0.99999654,549,False
WP_210247486,1.B.162,1.B.162,0.9999907,550,False
WP_246122516,1.B.163,1.B.163,0.99998367,558,False
WP_212021133,1.B.163,1.B.163,0.9999963,560,False
Q9KH44,1.B.165,1.B.165,0.99997914,568,False
AZE87434,1.B.165,1.B.165,0.9999889,570,False
A5FN23,1.B.18,1.B.18,0.99999523,581,True
K9TEU5,1.B.18,1.B.18,0.99996567,583,True
B0RRH7,1.B.18,1.B.18,0.999998,585,True
A4LTL1,1.B.19,1.B.19,0.9999974,589,True
A2CB33,1.B.19,1.B.19,0.99999774,591,True
WP_012860170,1.B.21,1.B.21,0.9999764,603,True
EEW1721302,1.B.21,1.B.21,0.99998975,605,True
D0X4R0,1.B.21,1.B.21,0.99999774,607,True
H0QY58,1.B.24,1.B.24,0.9999877,611,True
Q0SC06,1.B.24,1.B.24,0.99999297,614,True
I8STK0,1.B.26,1.B.26,0.99999845,619,True
D7FG51,1.B.27,1.B.27,0.999997,630,False
Q8GDI6,1.B.27,1.B.27,0.9999968,631,False
A0PAQ8,1.B.27,1.B.27,0.99999666,633,False
Q7VHZ9,1.B.27,1.B.27,0.9366198,634,False
Q0WMZ5,1.B.30,1.B.30,0.8262949,638,True
M2X828,1.B.30,1.B.69,0.546901,642,True
Q7MR22,1.B.31,1.B.31,0.99999225,644,True
E4VH40,1.B.31,1.B.31,0.9999913,645,True
G7HYA1,1.B.34,1.B.34,0.99999094,652,True
WP_047253868,1.B.34,1.B.34,0.9999956,656,True
WP_123925997,1.B.34,1.B.34,0.9999882,658,True
SIQ09903,1.B.34,1.B.34,0.9999901,669,True
A3UR43,1.B.35,1.B.35,0.9999913,672,True
D6DXH3,1.B.35,1.B.35,0.99999297,674,True
P76773,1.B.35,1.B.35,0.99999344,678,True
Q1Z3D7,1.B.35,1.B.35,0.99999475,684,True
Q7BSC0,1.B.36,1.B.36,0.99998343,686,False
Q48546,1.B.37,1.B.37,0.99998975,689,False
Q9A8R4,1.B.39,1.B.39,0.9999958,698,True
V1E4I3,1.B.39,1.B.39,0.9999962,700,True
B0VUV8,1.B.39,1.B.39,0.99997795,703,True
Q8NRS4,1.B.41,1.B.41,0.9999949,705,False
Q8FQT0,1.B.41,1.B.41,0.9999968,708,False
Q8RSG0,1.B.49,1.B.49,0.9999888,714,True
Q5QFE8,1.B.49,1.B.49,0.99999,715,True
P05695,1.B.5,1.B.5,0.51428163,719,True
Q7UTK7,1.B.5,1.B.16,0.52923965,721,True
